N features,NN r values mean,NN r values std,RF r values mean,RF r values std
12.0,0.5877498800332633,0.045053663147089425,0.5865939097259701,0.03116143481058841
17.0,0.581141536147328,0.044054173857966554,0.6362458363320285,0.028595072019143453
22.0,0.5980759953146888,0.0552948733648654,0.6751439383462826,0.026072478793164572
27.0,0.552027357254518,0.06715398183663414,0.6413409651071265,0.008936112706993656
32.0,0.6535753936470525,0.042863163538459155,0.642815664160745,0.005274482716911575
37.0,0.625619377222403,0.05346603110848313,0.6503616295197199,0.00251820181842493
42.0,0.6133280015225034,0.040523550014556424,0.6694248569233876,0.027916540893574673
47.0,0.6319923773943718,0.030669139685259653,0.6805953909663225,0.047234358829635885
52.0,0.6496538639587055,0.024618352644843352,0.6442652289151957,0.007025195573635645
57.0,0.6347851175565254,0.059469760856801696,0.648750567372236,0.0047848465944156865
62.0,0.661333880112486,0.053528448072523,0.6523537017026497,0.004556257207772579
67.0,0.6709692432194858,0.034682368603265165,0.6536419640716911,0.0035649980535215654
72.0,0.697269275541246,0.029242774613425348,0.6578418397939148,0.0065015781056160255
77.0,0.7050517277733609,0.017769178189795724,0.6674760069443874,0.0036446012138680404
82.0,0.7076701555241133,0.01263244178699786,0.6637280077439356,0.007348712000350187
